annotator ID,filename 
J1,PAT_15_3138_959.png
J1,PAT_32_44_211.png
J1,PAT_67_104_695.png
J1,PAT_88_133_64.png
J1,PAT_110_165_583.png
J1,PAT_126_190_376.png
J1,PAT_156_241_538.png
J1,PAT_163_254_719.png
J1,PAT_177_274_865.png
J1,PAT_197_301_449.png
J1,PAT_210_316_401.png
J1,PAT_211_318_942.png
J1,PAT_261_401_911.png
J1,PAT_282_433_934.png
J1,PAT_299_1452_1.png
J1,PAT_303_652_342.png
J1,PAT_316_674_318.png
J1,PAT_320_681_724.png
J1,PAT_330_1437_458.png
J1,PAT_351_728_683.png
J1,PAT_352_729_947.png
J1,PAT_366_2448_563.png
J1,PAT_377_1580_429.png
J1,PAT_380_774_185.png
J1,PAT_386_784_470.png
J1,PAT_397_797_638.png
J1,PAT_402_803_739.png
J1,PAT_428_845_189.png
J1,PAT_456_888_961.png
J1,PAT_460_894_242.png
J1,PAT_477_915_389.png
J1,PAT_478_916_979.png
J1,PAT_481_923_186.png
J1,PAT_487_930_973.png
J1,PAT_504_953_569.png
J1,PAT_545_1029_650.png
J1,PAT_559_1093_774.png
J1,PAT_565_1073_749.png
J1,PAT_566_179_23.png
J1,PAT_585_1130_552.png
J2,PAT_625_1184_412.png
J2,PAT_626_1187_34.png
J2,PAT_629_1192_362.png
J2,PAT_633_1199_745.png
J2,PAT_637_1434_684.png
J2,PAT_638_3680_891.png
J2,PAT_645_1222_860.png
J2,PAT_645_1223_443.png
J2,PAT_650_1241_329.png
J2,PAT_656_1246_483.png
J2,PAT_660_1249_469.png
J2,PAT_669_1265_76.png
J2,PAT_673_1276_752.png
J2,PAT_678_1298_396.png
J2,PAT_680_1289_585.png
J2,PAT_684_1303_178.png
J2,PAT_688_1305_242.png
J2,PAT_704_1324_359.png
J2,PAT_711_1334_480.png
J2,PAT_735_1391_261.png
J2,PAT_747_1409_116.png
J2,PAT_762_1436_414.png
J2,PAT_782_1492_890.png
J2,PAT_787_1482_328.png
J2,PAT_802_1516_510.png
J2,PAT_806_1520_60.png
J2,PAT_815_1536_963.png
J2,PAT_822_1550_132.png
J2,PAT_834_1574_276.png
J2,PAT_873_1661_178.png
J2,PAT_877_1667_118.png
J2,PAT_885_1687_204.png
J2,PAT_900_1711_622.png
J2,PAT_904_1736_851.png
J2,PAT_919_1744_451.png
J2,PAT_931_1762_69.png
J2,PAT_935_1785_530.png
J2,PAT_938_1790_977.png
J2,PAT_947_1798_946.png
J2,PAT_955_1810_892.png
J3,PAT_987_1859_859.png
J3,PAT_988_1858_453.png
J3,PAT_1034_160_819.png
J3,PAT_1113_458_387.png
J3,PAT_1138_520_154.png
J3,PAT_1180_651_559.png
J3,PAT_1186_681_457.png
J3,PAT_1220_765_464.png
J3,PAT_1261_896_349.png
J3,PAT_1286_1000_276.png
J3,PAT_1296_1038_1.png
J3,PAT_1305_1082_88.png
J3,PAT_1351_1231_203.png
J3,PAT_1393_1355_316.png
J3,PAT_1402_1376_507.png
J3,PAT_1406_1396_511.png
J3,PAT_1412_1421_512.png
J3,PAT_1452_1564_377.png
J3,PAT_1468_1622_219.png
J3,PAT_1475_1651_727.png
J3,PAT_1486_1684_182.png
J3,PAT_1534_1809_366.png
J3,PAT_1536_1819_91.png
J3,PAT_1563_2426_436.png
J3,PAT_1569_2456_393.png
J3,PAT_1577_2543_510.png
J3,PAT_1603_2704_969.png
J3,PAT_1670_3007_105.png
J3,PAT_1728_3234_404.png
J3,PAT_1729_3235_712.png
J3,PAT_1739_3261_325.png
J3,PAT_1746_3284_798.png
J3,PAT_1755_3310_986.png
J3,PAT_1761_3329_837.png
J3,PAT_1800_3460_206.png
J3,PAT_1893_3761_666.png
J3,PAT_1940_3902_876.png
J3,PAT_1975_3999_453.png
J3,PAT_2003_4107_766.png
J3,PAT_2016_4156_941.png
J3,PAT_2020_4176_865.png
J3,PAT_2024_4224_141.png
J3,PAT_2034_4266_880.png
J3,PAT_2093_4542_192.png
J3,PAT_2099_4562_100.png
J3,PAT_2129_4680_110.png
J3,PAT_2153_4782_321.png
