img_id,annotator
PAT_1942_3918_497.png,N1
PAT_1026_124_346.png,N2
PAT_420_834_450.png,N1
PAT_1277_964_77.png,N2
PAT_505_3200_856.png,N1
PAT_998_17_641.png,N3
PAT_205_311_255.png,N1
PAT_1568_2454_468.png,N2
PAT_85_129_980.png,N3
PAT_1722_3214_672.png,N2
PAT_1021_112_40.png,N2
PAT_2142_4733_13.png,N1
PAT_1582_2574_989.png,N2
PAT_1064_272_668.png,N2
PAT_742_1470_425.png,N3
PAT_1071_312_841.png,N2
PAT_433_2650_417.png,N1
PAT_233_986_663.png,N1
PAT_1707_3146_743.png,N2
PAT_1244_840_975.png,N2
PAT_1174_628_915.png,N2
PAT_46_881_14.png,N1
PAT_1306_1086_124.png,N2
PAT_83_126_513.png,N3
PAT_994_1866_730.png,N3
PAT_132_198_114.png,N2
PAT_737_1394_308.png,N3
PAT_45_65_551.png,N1
PAT_1715_3184_989.png,N2
PAT_141_209_438.png,N2
PAT_964_1821_83.png,N3
PAT_489_932_138.png,N1
PAT_1022_114_756.png,N2
PAT_815_1534_411.png,N3
PAT_547_1033_445.png,N1
PAT_1913_3816_335.png,N2
PAT_1063_270_593.png,N2
PAT_319_678_357.png,N1
PAT_1822_3576_145.png,N2
PAT_1614_2747_533.png,N2
PAT_191_293_391.png,N1
PAT_1427_1485_119.png,N2
PAT_272_420_25.png,N1
PAT_1673_3011_440.png,N2
PAT_154_236_800.png,N2
PAT_1453_1565_529.png,N2
PAT_114_173_213.png,N2
PAT_441_861_542.png,N1
PAT_1899_3779_475.png,N2
PAT_120_183_623.png,N2
PAT_228_348_2.png,N1
PAT_275_424_966.png,N1
PAT_711_1334_344.png,N3
PAT_62_97_868.png,N3
PAT_9_17_80.png,N3
PAT_1190_700_663.png,N2
PAT_328_692_681.png,N1
PAT_59_46_537.png,N1
PAT_1482_1677_382.png,N2
PAT_1753_3305_385.png,N2
PAT_971_1847_99.png,N3
PAT_618_1174_596.png,N3
PAT_1814_3564_609.png,N2
PAT_1309_1096_393.png,N2
PAT_341_715_180.png,N1
PAT_1586_2623_989.png,N2
PAT_312_668_480.png,N1
PAT_799_1515_723.png,N3
PAT_1331_1173_380.png,N2
PAT_1371_1278_533.png,N2
PAT_1498_1719_816.png,N2
PAT_1648_2902_292.png,N2
PAT_1881_3713_718.png,N2
PAT_796_1510_361.png,N3
PAT_230_350_872.png,N1
PAT_158_243_947.png,N2
PAT_1418_1448_307.png,N2
PAT_872_1708_841.png,N3
PAT_1102_408_613.png,N2
PAT_180_756_831.png,N2
PAT_478_1829_281.png,N1
PAT_1374_1286_775.png,N2
PAT_1584_2610_223.png,N2
PAT_1000_31_620.png,N2
PAT_683_1297_839.png,N3
PAT_1731_3237_919.png,N2
PAT_267_411_513.png,N1
PAT_101_1041_658.png,N2
PAT_1633_2855_594.png,N2
PAT_1468_3656_337.png,N2
PAT_1092_378_922.png,N2
PAT_561_1068_909.png,N1
PAT_91_354_332.png,N3
PAT_177_274_371.png,N2
PAT_874_1671_176.png,N3
PAT_274_423_374.png,N1
PAT_727_1373_776.png,N3
PAT_933_1766_191.png,N3
PAT_1317_1130_656.png,N2
PAT_615_1168_968.png,N1
PAT_406_1542_301.png,N1
PAT_976_1837_503.png,N3
PAT_677_1348_51.png,N3
PAT_296_640_206.png,N1
PAT_794_1507_723.png,N3
PAT_91_356_273.png,N3
PAT_237_363_344.png,N1
PAT_858_1632_977.png,N3
PAT_306_658_825.png,N1
PAT_55_85_884.png,N1
PAT_342_716_845.png,N1
PAT_41_57_2.png,N1
PAT_168_261_38.png,N2
PAT_946_1809_687.png,N3
PAT_1784_3416_507.png,N2
PAT_2080_4484_997.png,N1
PAT_891_1701_36.png,N3
PAT_978_1844_715.png,N3
PAT_990_1860_636.png,N3
PAT_380_1540_525.png,N1
PAT_591_1126_21.png,N1
PAT_714_1337_914.png,N3
PAT_963_1817_593.png,N3
PAT_860_1641_998.png,N3
PAT_857_1627_310.png,N3
PAT_949_1802_582.png,N3
PAT_691_1312_389.png,N3
